"icono","Año","Región agrícola","Municipio","Barrio","Cultivo","Nombre cientifíco","Unidad de producción","Producción","Producción en libras","Producción en kilogramos","Cuerdas sembradas","Hectáreas sembradas","Pies cuadrados sembrados","Cuerdas cosechadas","Hectáreas cosechadas","Pies cuadrados cosechados","USDA plant database"
"","2014","Caguas","Fajardo","Quebrada Vueltas","Ají dulce","Capsicum chinense","Quintal","60","6,000.00","2,721.55","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2015","Caguas","Fajardo","Quebrada Vueltas","Ají dulce","Capsicum chinense","Quintal","120","12,000.00","5,443.10","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2016","Caguas","Fajardo","Quebrada Vueltas","Ají dulce","Capsicum chinense","Quintal","180","18,000.00","8,164.66","3.00","1.18","126,919.28","3.00","1.18","126,919.28","USDA plant database"
"","2014","Caguas","Fajardo","Río Arriba","Ají dulce","Capsicum chinense","Quintal","125","12,500.00","5,669.90","2.50","0.98","105,766.07","2.50","0.98","105,766.07","USDA plant database"
"","2016","Caguas","Fajardo","Río Arriba","Ají dulce","Capsicum chinense","Quintal","60","6,000.00","2,721.55","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2013","San Germán","Guánica","Caño","Ají dulce","Capsicum chinense","Quintal","14","1,481.00","671.77","3.90","1.53","164,995.06","3.90","1.53","164,995.06","USDA plant database"
"","2015","San Germán","Guánica","Caño","Ají dulce","Capsicum chinense","Quintal","27","2,704.00","1,226.51","3.70","1.45","156,533.78","3.70","1.45","156,533.78","USDA plant database"
"","2016","San Germán","Guánica","Caño","Ají dulce","Capsicum chinense","Quintal","40","4,000.00","1,814.37","5.00","1.97","211,532.13","5.00","1.97","211,532.13","USDA plant database"
"","2013","San Germán","Guánica","Carenero","Ají dulce","Capsicum chinense","Quintal","60","6,000.00","2,721.55","3.00","1.18","126,919.28","3.00","1.18","126,919.28","USDA plant database"
"","2014","San Germán","Guánica","Carenero","Ají dulce","Capsicum chinense","Quintal","60","6,000.00","2,721.55","3.00","1.18","126,919.28","3.00","1.18","126,919.28","USDA plant database"
"","2015","San Germán","Guánica","Carenero","Ají dulce","Capsicum chinense","Quintal","20","2,000.00","907.18","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2016","San Germán","Guánica","Carenero","Ají dulce","Capsicum chinense","Quintal","50","5,000.00","2,267.96","5.00","1.97","211,532.13","5.00","1.97","211,532.13","USDA plant database"
"","2014","Mayagüez","Isabela","Galateo Alto","Ají dulce","Capsicum chinense","Quintal","300","30,000.00","13,607.76","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2013","San Germán","Guánica","Ciénaga","Ají dulce","Capsicum chinense","Quintal","1,210","121,000.00","54,884.63","10.00","3.93","423,064.26","10.00","3.93","423,064.26","USDA plant database"
"","2014","San Germán","Guánica","Ciénaga","Ají dulce","Capsicum chinense","Quintal","1,060","106,000.00","48,080.75","9.00","3.54","380,757.84","9.00","3.54","380,757.84","USDA plant database"
"","2022","3","Aguada","Barrio Pueblo","Mataderos","","","","","","","","","","","","No aparece en la base de datos del USDA' target='_blank'>No aparece en la base de datos del USDA"
"","2022","2","Arecibo","Miraflores","Vaquerías","","","","","","","","","","","","No aparece en la base de datos del USDA' target='_blank'>No aparece en la base de datos del USDA"
